Combination,Avg_Syntax,Std_Syntax,Median_Syntax,Mode_Syntax,Avg_Relatedness,Std_Relatedness,Median_Relatedness,Mode_Relatedness,Avg_Fun,Std_Fun,Median_Fun,Mode_Fun,Kappa_Syntax,Kappa_Relatedness,Kappa_Fun,Krippendorff_Syntax,Krippendorff_Relatedness,Krippendorff_Fun
"('Substitution', 'TFIDFVectorizer', 'TFIDFVectorizer')",2.9,0.3,3.0,3,2.35,0.8129165598838132,3.0,3,1.85,0.6788470618138767,2.0,2,0.2682926829268293,0.20903954802259894,0.3145869947275922,-0.005679725775807443,-0.0059876687385373994,-0.008136492629198244
"('Substitution', 'TFIDFVectorizer', 'BERT')",2.966666666666667,0.17950549357115012,3.0,3,1.8833333333333333,0.877338145883457,2.0,1,1.6833333333333333,0.6706133179576903,2.0,2,1.0,0.5360824742268042,0.4444444444444444,-0.005681818181818787,-0.007367168301411597,-0.008879970400098136
"('Substitution', 'BERT', 'TFIDFVectorizer')",3.0,0.0,3.0,3,2.433333333333333,0.7824463062870334,3.0,3,1.8833333333333333,0.6605973727535471,2.0,2,nan,0.20731707317073167,0.05555555555555558,-0.00561797752808979,-0.005576634477726161,-0.007228710540085226
"('Substitution', 'BERT', 'BERT')",2.8833333333333333,0.3210226714043038,3.0,3,1.6,0.7788880963698616,1.0,1,1.4166666666666667,0.585709446360186,1.0,1,0.24242424242424243,0.2441860465116279,0.06666666666666665,-0.005695024601240384,-0.007445848375451591,-0.009798247729282172
"('Analogy', 'TFIDFVectorizer', 'TFIDFVectorizer')",2.95,0.21794494717703364,3.0,3,2.533333333333333,0.6446359868604572,3.0,3,1.6833333333333333,0.6189148209209047,2.0,2,0.6511627906976745,0.12681912681912688,0.1014975041597338,-0.005681835436311733,-0.005806229230278737,-0.008519672503747966
"('Analogy', 'TFIDFVectorizer', 'BERT')",2.8833333333333333,0.32102267140430374,3.0,3,2.183333333333333,0.8264717512144959,2.0,3,1.5333333333333334,0.6944222218666553,1.0,1,0.5161290322580645,0.23857868020304562,0.04424778761061954,-0.005744456692849731,-0.006560212598520243,-0.008961745655392983
"('Analogy', 'BERT', 'TFIDFVectorizer')",2.8833333333333333,0.3210226714043038,3.0,3,2.45,0.6689544080129826,3.0,3,1.7,0.6658328118479393,2.0,2,0.8387096774193549,0.0625,0.17431192660550443,-0.005814010251403934,-0.006004923116269101,-0.007812424727670519
"('Analogy', 'BERT', 'BERT')",2.933333333333333,0.2494438257849294,3.0,3,2.0833333333333335,0.8224286527650219,2.0,3,1.65,0.653834841531101,2.0,1,-0.05263157894736836,0.31707317073170727,0.11439114391143912,-0.005615882928647009,-0.006583090544189041,-0.008861208217868288
"('Comp_Vec', 'TFIDFVectorizer', 'TFIDFVectorizer')",2.8333333333333335,0.3726779962499649,3.0,3,2.5166666666666666,0.6950219820664347,3.0,3,1.5833333333333333,0.5565269285687999,2.0,2,1.0,0.31677018633540377,0.06444906444906429,-0.005952380952380487,-0.0059376229830772065,-0.00903751372609074
"('Comp_Vec', 'TFIDFVectorizer', 'BERT')",2.95,0.21794494717703364,3.0,3,2.433333333333333,0.7608474807008884,3.0,3,1.8666666666666667,0.6446359868604572,2.0,2,0.0,0.3023255813953488,0.07272727272727286,-0.005621524018620816,-0.0063681144737604,-0.007729897189164392
"('Comp_Vec', 'BERT', 'TFIDFVectorizer')",2.8333333333333335,0.372677996249965,3.0,3,2.683333333333333,0.5913731666403389,3.0,3,1.9833333333333334,0.6706133179576904,2.0,2,0.76,0.5054945054945055,0.21787709497206698,-0.00588032648773229,-0.00593724421516395,-0.007294624003556072
"('Comp_Vec', 'BERT', 'BERT')",2.8666666666666667,0.33993463423951903,3.0,3,2.4,0.7788880963698616,3.0,3,1.8166666666666667,0.6189148209209047,2.0,2,0.4285714285714286,0.4274809160305343,0.2899408284023668,-0.005745039969841104,-0.006005861459930983,-0.008170714896198028
"('-', '-', 'TFIDFVectorizer')",3.0,0.0,3.0,3,2.35,0.8331666499966658,3.0,3,1.6166666666666667,0.6605973727535471,2.0,1,nan,0.375,0.20604914933837426,-0.00561797752808979,-0.006046447324242532,-0.008653343283757664
"('-', '-', 'BERT')",3.0,0.0,3.0,3,1.7,0.9,1.0,1,1.4666666666666666,0.6446359868604572,1.0,1,nan,0.27125506072874506,0.018404907975460127,-0.00561797752808979,-0.006596841635205131,-0.009229756813594614
Total_Substitution,2.9375,0.24206145913796356,3.0,3,2.066666666666667,0.8825468196582483,2.0,3,1.7083333333333333,0.6757197808427856,2.0,2,-,-,-,-,-,-
Total_Analogy,2.9125,0.2825663638864329,3.0,3,2.3125,0.7680128579652817,2.5,3,1.6416666666666666,0.662015021648972,2.0,1,-,-,-,-,-,-
Total_CompVec,2.870833333333333,0.3353843152100123,3.0,3,2.5083333333333333,0.7187469806699865,3.0,3,1.8125,0.6408409188974541,2.0,2,-,-,-,-,-,-
Total_BERT,2.926190476190476,0.2614606624418579,3.0,3,2.0404761904761903,0.8760190049605968,2.0,3,1.6333333333333333,0.6646397759283081,2.0,1,-,-,-,-,-,-
Total_TFIDF,2.914285714285714,0.27994168488950605,3.0,3,2.473809523809524,0.7314563176780974,3.0,3,1.7571428571428571,0.6604986778195401,2.0,2,-,-,-,-,-,-
Total,2.920238095238095,0.2709242390607707,3.0,3,2.257142857142857,0.835561646622272,3.0,3,1.6952380952380952,0.6654580881769951,2.0,2,0.564516129032258,0.348795636748356,0.17328285254146303,-0.0004035776807791436,-0.0004436557096336724,-0.0005802475368823501
